t,level,bass,mid,treble,flux,argmax
3.68036,0.03108,0.0001,0.2537,0.0000,0.00027,20
3.69197,0.03134,0.0027,0.2590,0.0000,0.00297,20
3.70358,0.03157,0.0010,0.2545,0.0000,0.00009,20
3.71519,0.03790,0.0566,0.2569,0.2136,0.11368,20
3.7268,0.04151,0.1689,0.3400,0.3582,0.11778,20
3.73841,0.04366,0.2210,0.3777,0.4304,0.05704,20
3.75002,0.04455,0.2363,0.3955,0.4650,0.02567,20
3.76163,0.04512,0.2195,0.3952,0.4732,0.00660,20
3.77324,0.04512,0.1697,0.3829,0.4613,0.00128,20
3.78485,0.04519,0.0948,0.3662,0.4328,0.00057,20
3.79646,0.04510,0.0631,0.3559,0.4002,0.00142,19
3.80807,0.04015,0.0544,0.3352,0.3702,0.00055,20
3.81968,0.03585,0.0344,0.3202,0.3380,0.00250,20
3.83129,0.03370,0.0187,0.2993,0.3081,0.00154,20
3.8429,0.03152,0.0149,0.2949,0.2715,0.00181,19
3.85451,0.03223,0.0014,0.2803,0.2260,0.00072,20
3.86612,0.03150,0.0070,0.2724,0.1599,0.00364,19
3.87773,0.03167,0.0005,0.2508,0.0626,0.00079,20
3.88934,0.03039,0.0027,0.2580,0.0000,0.00357,19
3.90095,0.03143,0.0002,0.2531,0.0000,0.00071,20
3.91256,0.03116,0.0039,0.2604,0.0000,0.00393,19
3.92417,0.03174,0.0000,0.2493,0.0000,0.00029,20
3.93578,0.03076,0.0023,0.2589,0.0000,0.00422,19
3.94739,0.03138,0.0004,0.2534,0.0000,0.00047,20
3.959,0.08294,0.4264,0.3749,0.0686,0.15508,20
3.97061,0.10317,0.7126,0.5454,0.3164,0.22867,9
3.98222,0.12636,0.8068,0.6248,0.4169,0.09227,9
3.99383,0.13456,0.8387,0.6627,0.4662,0.04219,9
4.00544,0.14048,0.8734,0.6679,0.4840,0.01709,8
4.01705,0.15617,0.8981,0.6416,0.4797,0.00647,8
4.02866,0.17255,0.8849,0.5872,0.4571,0.00096,0
4.04027,0.18208,0.8247,0.5111,0.4286,0.00036,0
4.05188,0.16868,0.7760,0.4313,0.3941,0.00400,0
4.06349,0.15913,0.7380,0.3898,0.3623,0.00202,0
4.0751,0.14425,0.7106,0.3803,0.3326,0.00172,1
4.08671,0.14171,0.6689,0.3546,0.3023,0.00044,1
4.09832,0.14013,0.5845,0.3333,0.2645,0.00170,0
4.10993,0.12718,0.6203,0.3472,0.2131,0.01784,0
4.12154,0.10879,0.6459,0.3366,0.1373,0.00567,1
4.13315,0.09597,0.6337,0.3251,0.0378,0.00105,1
4.14476,0.09142,0.5921,0.3150,0.0166,0.00051,1
4.15637,0.08888,0.6269,0.3170,0.0161,0.00903,1
4.16798,0.08492,0.6417,0.3188,0.0156,0.00579,1
4.17959,0.07631,0.6392,0.3125,0.0152,0.00159,1
4.1912,0.06869,0.6278,0.3159,0.0149,0.00303,1
4.20281,0.06037,0.6071,0.3656,0.0245,0.02337,1
4.21442,0.06958,0.6107,0.4513,0.2167,0.12403,1
4.22603,0.07489,0.7336,0.5282,0.3588,0.11685,1
4.23764,0.08355,0.7936,0.5723,0.4315,0.06061,4
4.24925,0.08895,0.8210,0.5874,0.4697,0.02852,7
4.26086,0.09288,0.8211,0.5781,0.4799,0.00788,8
4.27247,0.09627,0.8002,0.5481,0.4706,0.00066,8
4.28408,0.09912,0.7812,0.4980,0.4447,0.00020,8
4.29569,0.10074,0.7569,0.4721,0.4055,0.00061,8
